Sensor Barometer,Sensor Ketebalan Awan,Sensor Radiasi Surya,Penghangat
324.24,0.0,0.0,0.0
363.17888888888893,1.1511111111111112,210.94222222222223,11.821111111111112
515.5677777777778,2.3622222222222224,469.25444444444446,23.63222222222222
530.7366666666667,3.3633333333333333,724.4566666666667,34.73333333333333
604.7855555555556,4.2444444444444445,975.2888888888889,40.34444444444444
736.0044444444444,6.105555555555555,1045.191111111111,50.275555555555556
915.2733333333333,6.886666666666667,1400.9033333333334,65.99666666666666
875.1322222222221,7.537777777777778,1426.6555555555556,81.61777777777777
993.031111111111,8.818888888888889,1713.4777777777779,84.38888888888889
1186.88,10.56,1862.92,97.61
