Sensor Cancel Order,Sensor Penilaian,Sensor Jumlah Pesanan,Tingkat Keuntungan
0.0,1.01,0.0,0.0
12.12111111111111,1.4144444444444444,1124.361111111111,11.351111111111111
21.482222222222223,1.9288888888888889,2234.5422222222223,20.342222222222222
34.03333333333333,2.183333333333333,3632.323333333333,31.70333333333333
42.48444444444444,2.8577777777777778,4760.514444444444,41.98444444444444
51.455555555555556,2.942222222222222,5384.355555555556,56.455555555555556
65.81666666666666,3.5866666666666664,6951.956666666666,69.93666666666665
81.77777777777777,4.181111111111111,8133.437777777777,71.14777777777778
82.57888888888888,4.245555555555556,8356.178888888888,86.00888888888889
96.39,4.82,9040.48,93.9
