Sensor Kelembapan Tanahu,Sensor Intensi Cahaya,Sensor Suhu Udara,Ventilasi
0.0,0.0,-39.58,0.0
10.911111111111111,1180.121111111111,-26.856666666666666,12.13111111111111
22.28222222222222,2362.2722222222224,-12.723333333333333,21.952222222222222
31.76333333333333,3207.753333333333,0.0,35.563333333333325
45.41444444444444,4126.594444444444,14.503333333333336,45.38444444444444
55.44555555555556,5695.135555555556,24.606666666666673,52.48555555555556
62.34666666666666,6994.796666666666,43.84,61.55666666666666
85.07777777777777,8539.887777777778,58.283333333333346,79.51777777777777
80.94888888888889,9435.058888888889,71.79666666666667,80.63888888888889
107.65,9510.34,76.6,105.95
