Penghangat,Tingkat Keuntungan,Tingkat Keramaian,Subsystem3
0.0,0.0,0.0,0.0
11.011111111111111,10.71111111111111,11.11111111111111,11.091111111111111
23.932222222222222,21.94222222222222,20.76222222222222,23.642222222222223
32.59333333333333,31.88333333333333,33.83333333333333,36.063333333333325
48.12444444444444,48.224444444444444,43.41444444444444,43.70444444444444
51.095555555555556,52.83555555555556,57.995555555555555,53.04555555555556
68.04666666666665,65.56666666666666,65.76666666666665,67.89666666666666
77.61777777777777,70.06777777777778,75.27777777777777,81.58777777777777
85.86888888888889,81.13888888888889,85.69888888888889,92.09888888888888
97.95,98.86,108.93,101.61
