Pendingin,Umur Daging,Kualitas Daging,Subsystem1
0.0,0.0,0.0,0.0
11.81111111111111,11.411111111111111,10.95111111111111,11.501111111111111
23.26222222222222,23.322222222222223,22.55222222222222,24.252222222222223
36.61333333333333,33.36333333333333,33.82333333333333,33.96333333333333
44.574444444444445,44.62444444444444,43.95444444444444,42.184444444444445
57.40555555555556,51.01555555555556,57.19555555555556,59.275555555555556
72.42666666666666,61.61666666666666,70.19666666666666,64.85666666666665
72.76777777777777,70.17777777777778,70.42777777777778,71.37777777777777
97.00888888888889,87.01888888888888,97.29888888888888,91.40888888888888
96.68,99.03,106.99,102.19
