Sensor Suhu Tanah,Sensor Kelembapan Udara,Sensor Kadar Co2,Penyiram Air
-36.2,0.0,0.0,0.0
-25.444444444444443,11.421111111111111,593.6655555555556,11.22111111111111
-8.37888888888889,20.142222222222223,1087.361111111111,20.26222222222222
6.4466666666666645,34.39333333333333,1628.1466666666665,34.773333333333326
21.83222222222222,42.06444444444444,2388.762222222222,48.45444444444444
36.27777777777777,54.00555555555556,2590.2277777777776,54.035555555555554
52.51333333333333,66.51666666666665,3180.423333333333,67.42666666666666
71.29888888888888,78.57777777777777,4053.3288888888887,77.31777777777778
87.05444444444444,81.40888888888888,4585.904444444444,82.18888888888888
108.38,95.5,5163.06,92.32
