Sensor Pendeteksi Gerakan,Sensor Meja Kosong,Sensor Kebisingan,Tingkat Keramaian
0.0,0.0,44.81,0.0
51.955555555555556,11.44111111111111,45.43555555555556,11.081111111111111
113.11111111111111,22.682222222222222,44.251111111111115,22.79222222222222
172.82666666666668,30.713333333333328,44.64666666666666,33.61333333333333
208.19222222222223,46.81444444444444,49.13222222222222,42.654444444444444
265.4977777777778,51.72555555555556,43.45777777777778,57.30555555555556
319.42333333333335,65.92666666666666,46.303333333333335,67.05666666666666
411.3488888888889,70.65777777777777,45.278888888888886,76.44777777777777
488.50444444444446,97.43888888888888,53.27444444444444,84.64888888888889
536.65,106.54,53.8,103.29
