Sensor Oksigen,Sensor Kadar Garam,Sensor Kadar Lemak,Umur Daging
0.0,0.0,0.0,0.0
11.741111111111111,0.5255555555555556,11.37111111111111,10.14111111111111
21.04222222222222,1.041111111111111,23.432222222222222,21.38222222222222
34.203333333333326,1.7666666666666668,34.26333333333333,33.063333333333325
47.294444444444444,2.0122222222222224,41.74444444444444,48.63444444444444
58.86555555555556,2.7377777777777776,59.90555555555556,54.675555555555555
70.98666666666665,3.3533333333333335,69.65666666666665,65.80666666666666
73.36777777777777,4.11888888888889,75.65777777777777,79.21777777777777
81.60888888888888,4.754444444444444,88.71888888888888,81.20888888888888
96.63,5.09,94.36,103.99
