Sensor Kadar Sodium,Sensor Kadar Protein,Sensor Kadar Gula,Kualitas Daging
0.0,0.0,0.0,0.0
10.73111111111111,11.011111111111111,1.1811111111111112,12.03111111111111
22.002222222222223,20.87222222222222,2.2822222222222224,21.912222222222223
32.65333333333333,32.98333333333333,3.5033333333333334,30.443333333333328
46.83444444444444,42.94444444444444,4.774444444444445,41.80444444444444
53.94555555555556,59.93555555555556,6.0055555555555555,50.50555555555556
60.706666666666656,72.45666666666666,6.136666666666667,71.76666666666665
70.29777777777777,81.37777777777777,7.1577777777777785,85.26777777777777
86.85888888888888,82.48888888888888,9.09888888888889,86.31888888888889
105.85,104.0,10.26,90.96000000000001
