Sensor Suhu,Sensor Kelembapan,Sensor pH,Pendingin
-51.5,0.0,0.0,0.0
-27.57777777777778,10.98111111111111,1.6055555555555556,10.601111111111111
-6.105555555555557,24.022222222222222,3.341111111111111,20.572222222222223
17.26666666666666,32.57333333333333,5.066666666666667,33.87333333333333
37.48888888888889,42.714444444444446,5.802222222222222,46.794444444444444
64.07111111111111,53.105555555555554,8.427777777777777,54.535555555555554
86.19333333333331,65.09666666666666,8.453333333333333,67.13666666666666
104.04555555555554,80.28777777777778,11.69888888888889,80.23777777777777
129.84777777777776,87.61888888888889,12.704444444444444,82.34888888888888
143.48,108.68,12.71,101.38
